14:09;temperature;-914:09;wind_speed;714:09;pressure;72214:10;temperature;-414:10;wind_speed;1014:10;pressure;73914:13;temperature;-214:13;wind_speed;314:13;pressure;73114:13;temperature;-314:13;wind_speed;114:13;pressure;72114:14;temperature;-814:14;wind_speed;014:14;pressure;73014:15;temperature;-1914:15;wind_speed;714:15;pressure;74014:15;temperature;-2014:15;wind_speed;714:15;pressure;74214:17;temperature;-5
14:17;wind_speed;4
14:17;pressure;731
14:17;temperature;-18
14:17;wind_speed;1
14:17;pressure;735
14:19;temperature;-4
14:19;wind_speed;10
14:19;pressure;740
14:19;temperature;-3
14:19;wind_speed;1
14:19;pressure;727
14:19;temperature;-19
14:19;wind_speed;5
14:19;pressure;738
14:41;temperature;-9
14:41;wind_speed;1
14:41;pressure;744
14:41;temperature;-14
14:41;wind_speed;1
14:41;pressure;735
14:42;temperature;-5
14:42;wind_speed;10
14:42;pressure;726
14:42;temperature;-3
14:42;wind_speed;0
14:42;pressure;733
15:14;temperature;0
15:14;wind_speed;3
15:14;pressure;725
15:14;temperature;-5
15:14;wind_speed;2
15:14;pressure;750
15:15;temperature;0
15:15;wind_speed;5
15:15;pressure;740
15:15;temperature;-3
15:15;wind_speed;9
15:15;pressure;727
15:45;temperature;-9
15:45;wind_speed;3
15:45;pressure;749
15:48;temperature;-6
15:48;wind_speed;41
15:48;pressure;725
15:49;temperature;-4
15:49;wind_speed;50
15:49;pressure;725
15:51;temperature;-5
15:51;wind_speed;45
15:51;pressure;744
15:51;temperature;-18
15:51;wind_speed;35
15:51;pressure;746
15:52;temperature;-8
15:52;wind_speed;50
15:52;pressure;744
15:52;temperature;-16
15:52;wind_speed;32
15:52;pressure;749
15:55;temperature;-12
15:55;wind_speed;43
15:55;pressure;722
15:56;temperature;-18
15:56;wind_speed;36
15:56;pressure;732
15:56;temperature;-13
15:56;wind_speed;39
15:56;pressure;744
15:58;temperature;-9
15:58;wind_speed;38
15:58;pressure;736
15:59;temperature;-1
15:59;wind_speed;42
15:59;pressure;749
16:04;temperature;-3
16:04;wind_speed;48
16:04;pressure;722
16:11;temperature;-7
16:11;pressure;723
16:11;wind_speed;47
16:11;temperature;0
16:11;wind_speed;42
16:11;pressure;737
16:11;temperature;-7
16:11;wind_speed;47
16:11;pressure;743
16:11;temperature;-6
16:11;pressure;729
16:11;wind_speed;47
16:11;temperature;-20
16:11;wind_speed;43
16:11;pressure;736
16:11;temperature;-5
16:11;pressure;737
16:11;wind_speed;41
16:11;temperature;-8
16:11;wind_speed;49
16:11;pressure;739
